"provision_id","source_id","article","paragraph","point","heading","stable_pinpoint","cross_references","definitions_required","recitals_required"
"LAW-EU-2023-2854-A033-P06","LAW-EU-2023-2854","33","6","","Committee notification before draft","Article 33(6)","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P07-S01","LAW-EU-2023-2854","33","7","S01","Commission consideration of EDIB advice and expert views","Article 33(7), consideration clause","LAW-EU-2022-0868-A030-PTH","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P07-S02","LAW-EU-2023-2854","33","7","S02","Consultation of all relevant stakeholders","Article 33(7), consultation clause","LAW-EU-2023-2854-A033-P07-S01","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P08","LAW-EU-2023-2854","33","8","","Common-specification presumption","Article 33(8)","LAW-EU-2023-2854-A033-P05-SP01; LAW-EU-2023-2854-A033-P05-SP02","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P09-S01","LAW-EU-2023-2854","33","9","S01","Commission assessment of proposed harmonised standard","Article 33(9), sentence 1","NONE_IDENTIFIED","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P09-S02","LAW-EU-2023-2854","33","9","S02","Repeal of overlapping common-specification acts","Article 33(9), sentence 2","LAW-EU-2023-2854-A033-P09-S01; LAW-EU-2023-2854-A033-P05-SP01","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P10-S01","LAW-EU-2023-2854","33","10","S01","Member-State notification of insufficient common specification","Article 33(10), sentence 1","LAW-EU-2023-2854-A033-P01-PTA through LAW-EU-2023-2854-A033-P01-PTD; LAW-EU-2023-2854-A033-P05-SP01","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P10-S02","LAW-EU-2023-2854","33","10","S02","Commission assessment of Member-State explanation","Article 33(10), sentence 2, assessment clause","LAW-EU-2023-2854-A033-P10-S01","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P10-S03","LAW-EU-2023-2854","33","10","S03","Commission power to amend common-specification implementing act","Article 33(10), sentence 2, amendment clause","LAW-EU-2023-2854-A033-P10-S02; LAW-EU-2023-2854-A033-P05-SP01","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2023-2854-A033-P11","LAW-EU-2023-2854","33","11","","Commission guidelines for data-space frameworks","Article 33(11)","LAW-EU-2022-0868-A030-PTH","LAW-EU-2023-2854-A002-PT01; LAW-EU-2023-2854-A002-PT02; LAW-EU-2023-2854-A002-PT39; LAW-EU-2023-2854-A002-PT40; LAW-EU-2023-2854-A002-PT42; LAW-EU-2023-2854-A002-PT43","LAW-EU-2023-2854-R103; LAW-EU-2023-2854-R106; LAW-EU-2023-2854-R110; LAW-EU-2023-2854-R113; LAW-EU-2023-2854-R114; LAW-EU-2023-2854-R115"
"LAW-EU-2024-1689-A010-P01","LAW-EU-2024-1689","10","1","","Training-technique scope and dataset-quality condition","Article 10(1)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTA","LAW-EU-2024-1689","10","2","a","Design choices","Article 10(2)(a)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTB","LAW-EU-2024-1689","10","2","b","Collection origin and original purpose","Article 10(2)(b)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTC","LAW-EU-2024-1689","10","2","c","Data preparation operations","Article 10(2)(c)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTD","LAW-EU-2024-1689","10","2","d","Measurement and representation assumptions","Article 10(2)(d)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTE","LAW-EU-2024-1689","10","2","e","Availability quantity and suitability","Article 10(2)(e)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTF","LAW-EU-2024-1689","10","2","f","Bias examination","Article 10(2)(f)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTG","LAW-EU-2024-1689","10","2","g","Bias mitigation","Article 10(2)(g)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P02-PTH","LAW-EU-2024-1689","10","2","h","Data gaps and shortcomings","Article 10(2)(h)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P03-S01","LAW-EU-2024-1689","10","3","","Dataset quality characteristics","Article 10(3), sentence 1","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P03-S02","LAW-EU-2024-1689","10","3","","Statistical properties","Article 10(3), sentence 2","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P03-S03","LAW-EU-2024-1689","10","3","","Individual-or-combined dataset level","Article 10(3), sentence 3","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P04","LAW-EU-2024-1689","10","4","","Specific setting characteristics","Article 10(4)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-SP01","LAW-EU-2024-1689","10","5","","Exceptional special-category processing permission","Article 10(5), first subparagraph","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-SP02","LAW-EU-2024-1689","10","5","","Data-law interface and cumulative conditions","Article 10(5), second subparagraph","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-PTA","LAW-EU-2024-1689","10","5","a","No effective alternative data","Article 10(5)(a)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-PTB","LAW-EU-2024-1689","10","5","b","Reuse limits and privacy/security measures","Article 10(5)(b)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-PTC","LAW-EU-2024-1689","10","5","c","Security access and documentation controls","Article 10(5)(c)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-PTD","LAW-EU-2024-1689","10","5","d","No third-party access or transfer","Article 10(5)(d)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"LAW-EU-2024-1689-A010-P05-PTE","LAW-EU-2024-1689","10","5","e","Deletion deadline","Article 10(5)(e)","LAW-EU-2024-1689-A006-P01 through LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01","LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37","LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
