"statement_id","provision_id","source_excerpt_max_25_words","modality","modality_strength","addressee_actor","addressee_legal_role","action","governed_object","object_granularity","beneficiary_or_right_holder","purpose","trigger_conditions","cumulative_or_alternative_conditions","exceptions_derogations","required_information","required_form_or_format","required_control","required_evidence","supervisory_or_decision_actor","consequence_or_remedy","cross_instrument_dependency"
"REQ-AIA-010-018","LAW-EU-2024-1689-A010-P05-PTC","secured, protected, subject to suitable safeguards, including strict controls and documentation of the access, to avoid misuse","OBLIGATION","CUMULATIVE_ACCESS_AND_CONFIDENTIALITY_DUTY","ACT-AIA-HIGH-RISK-PROVIDER","Provider controlling access to exceptional-processing data.","Secure the data and restrict, document and govern access.","OBJ-SPECIAL-PERSONAL-DATA-0001","Processing environment, user account and access event.","ACT-AIA-AFFECTED-NATURAL-PERSON","Avoid misuse and confine access to accountable authorised persons.","Article 10(5) special-category processing occurs.","Security and protection; suitable safeguards; strict access controls; access documentation; authorised persons only; appropriate confidentiality obligations.","Technical access alone is insufficient without authorisation and confidentiality; organisational policy alone is insufficient without enforced controls.","Authorised person, role, purpose, approval, access event, data scope, confidentiality obligation and anomaly.","Enforced identity and access controls plus immutable or protected access documentation.","Least privilege, approval, authentication, logging, review, revocation, misuse detection and confidentiality management.","Authorisation records, access-control configuration, logs, reviews and confidentiality commitments.","ACT-AIA-MARKET-SURVEILLANCE-AUTHORITY","Unauthorised or undocumented access defeats the safeguard condition and may trigger AI, data-protection and security responses.","LAW-EU-2024-1689-A006-P01; LAW-EU-2024-1689-A006-P02; LAW-EU-2024-1689-A006-P03; LAW-EU-2024-1689-A006-P04; LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01; LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37; LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"REQ-AIA-010-019","LAW-EU-2024-1689-A010-P05-PTD","the special categories of personal data are not to be transmitted, transferred or otherwise accessed by other parties","PROHIBITION","ABSOLUTE_WITHIN_ARTICLE_10_5_PROCESSING_BOUNDARY","ACT-AIA-HIGH-RISK-PROVIDER","Provider controlling exceptional special-category data.","Prevent transmission, transfer or other access by outside parties.","OBJ-SPECIAL-PERSONAL-DATA-0001","Data record, export, transfer path or access channel.","ACT-AIA-AFFECTED-NATURAL-PERSON","Contain the data within the authorised exceptional-processing boundary.","Article 10(5) special-category processing occurs.","No transmission; no transfer; no other-party access.","No express Article 10(5)(d) onward-transfer exception is stated; who counts as another party requires role and processing-boundary analysis.","Approved processing boundary, authorised persons, network paths, exports, recipients and blocked events.","Enforced no-transfer and no-external-access controls.","Network egress, export, sharing, account, vendor and remote-access restrictions with monitoring.","Data-flow map, control configuration, logs and incident records.","ACT-AIA-MARKET-SURVEILLANCE-AUTHORITY","An unauthorised transfer or access breaches the Article 10(5) condition and may trigger additional data-protection consequences.","LAW-EU-2024-1689-A006-P01; LAW-EU-2024-1689-A006-P02; LAW-EU-2024-1689-A006-P03; LAW-EU-2024-1689-A006-P04; LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01; LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37; LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"REQ-AIA-010-020","LAW-EU-2024-1689-A010-P05-PTE","are deleted once the bias has been corrected or the personal data has reached the end of its retention period, whichever comes first","OBLIGATION","EARLIEST_EVENT_DELETION_DUTY","ACT-AIA-HIGH-RISK-PROVIDER","Provider retaining special-category data for Article 10(5) processing.","Delete the special-category data at the first controlling endpoint.","OBJ-SPECIAL-PERSONAL-DATA-0001","Affected data record, dataset copy, backup or processing environment.","ACT-AIA-AFFECTED-NATURAL-PERSON","Minimise retention after the exceptional bias purpose or lawful retention period ends.","Bias is corrected OR the applicable retention period ends.","Two alternative trigger events; delete at whichever occurs first and cover active copies and governed residual copies.","The applicable retention period comes from controlling law or policy; Article 10(5)(e) does not authorise extension beyond bias correction.","Bias-correction event, retention rule and end date, copies, deletion date, method and exceptions under controlling law.","Documented and verifiable deletion across governed storage locations.","Event monitoring, earliest-date calculation, deletion workflow, backup propagation and exception approval.","Trigger record, retention schedule, deletion logs and verification result.","ACT-AIA-MARKET-SURVEILLANCE-AUTHORITY","Data retained beyond the earlier endpoint fall outside the Article 10(5) condition and require immediate legal response.","LAW-EU-2024-1689-A006-P01; LAW-EU-2024-1689-A006-P02; LAW-EU-2024-1689-A006-P03; LAW-EU-2024-1689-A006-P04; LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01; LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37; LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"REQ-AIA-010-021","LAW-EU-2024-1689-A010-P05-PTF","include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases","EVIDENCE_DUTY","MANDATORY_NECESSITY_RATIONALE","ACT-AIA-HIGH-RISK-PROVIDER","Provider subject to the applicable processing-activity record regime.","Record the strict-necessity and alternative-data rationale in the processing record.","OBJ-PROCESSING-RECORD-0001","One exceptional processing activity and its recorded rationale.","ACT-AIA-AFFECTED-NATURAL-PERSON","Make the exceptional permission auditable under AI and data-protection law.","Article 10(5) special-category processing occurs and the applicable GDPR or EUDPR processing record is maintained.","Record why processing was strictly necessary AND why other data could not achieve bias detection/correction.","A generic template statement without operation-specific reasons does not demonstrate the required rationale.","Bias objective, strict-necessity reasons, alternatives considered, effectiveness evidence and approving actor.","Record of processing activities under the applicable data-protection instrument.","Record completeness, operation linkage, approval, versioning and consistency with the alternatives assessment.","Processing record and supporting necessity/alternatives analysis.","ACT-AIA-MARKET-SURVEILLANCE-AUTHORITY","An absent or inadequate rationale breaches the evidence condition and undermines reliance on the exceptional permission.","LAW-EU-2024-1689-A006-P01; LAW-EU-2024-1689-A006-P02; LAW-EU-2024-1689-A006-P03; LAW-EU-2024-1689-A006-P04; LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2016-0679-A006-P01; LAW-EU-2016-0679-A009-P01; LAW-EU-2016-0679-A009-P02-PTG; LAW-EU-2016-0679-A030-P01; LAW-EU-2018-1725-A005-P01; LAW-EU-2018-1725-A010-P01; LAW-EU-2018-1725-A010-P02-PTG; LAW-EU-2018-1725-A031-P01; LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37; LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"REQ-AIA-010-022","LAW-EU-2024-1689-A010-P06","paragraphs 2 to 5 apply only to the testing data sets.","CONDITION","NON_TRAINING_SCOPE_LIMIT","ACT-AIA-HIGH-RISK-PROVIDER","Provider developing a high-risk AI system without model-training techniques.","Apply Article 10(2)-(5) to testing datasets and not to non-existent training or validation datasets under this route.","OBJ-DATASET-0003","Testing datasets only.","ACT-AIA-AFFECTED-NATURAL-PERSON","Adapt the data-governance requirements to high-risk systems that do not use model-training techniques.","High-risk AI system development does not use techniques involving the training of AI models.","Non-training route established; paragraphs 2 to 5 still apply to testing datasets.","Article 10(6) narrows dataset role, not the substantive paragraphs 2 to 5 criteria for testing data.","Development technique, absence of model training, testing-dataset inventory and paragraph 2 to 5 evidence.","Documented technical classification and testing-data compliance matrix.","Method classification, dataset-role inventory and scope decision review.","Architecture description, development record, testing dataset register and compliance evidence.","ACT-AIA-MARKET-SURVEILLANCE-AUTHORITY","Non-compliance with Article 10 may engage AI Act Article 99(4)(a), subject to authority, transition, facts and the applicable fine calculation.","LAW-EU-2024-1689-A006-P01; LAW-EU-2024-1689-A006-P02; LAW-EU-2024-1689-A006-P03; LAW-EU-2024-1689-A006-P04; LAW-EU-2024-1689-A006-P05; LAW-EU-2024-1689-A113-SP02; LAW-EU-2024-1689-A113-P03-PTC; LAW-EU-2024-1689-A003-PT01; LAW-EU-2024-1689-A003-PT03; LAW-EU-2024-1689-A003-PT12; LAW-EU-2024-1689-A003-PT27; LAW-EU-2024-1689-A003-PT28; LAW-EU-2024-1689-A003-PT29; LAW-EU-2024-1689-A003-PT30; LAW-EU-2024-1689-A003-PT31; LAW-EU-2024-1689-A003-PT32; LAW-EU-2024-1689-A003-PT33; LAW-EU-2024-1689-A003-PT37; LAW-EU-2024-1689-R067; LAW-EU-2024-1689-R068; LAW-EU-2024-1689-R069; LAW-EU-2024-1689-R070; LAW-EU-2024-1689-R122; LAW-EU-2024-1689-R179"
"REQ-DGA-001-001","LAW-EU-2022-0868-A001-P01-PTA","conditions for the re-use, within the Union, of certain categories of data held by public sector bodies","CONDITION","SOURCE_CONTROLLED_CONDITION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 1 operation.","Apply the Chapter II framework only to qualifying protected public-sector data re-use.","OBJ-DGA-PROTECTED-DATA","One versioned Article 1 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Chapter II scope facts are established","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","No general access entitlement is created","Protected-data category, holding public-sector body, re-use operation and territory","Scope classification record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-001-002","LAW-EU-2022-0868-A001-P01-PTD","a framework for the establishment of a European Data Innovation Board","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-EU-COMMISSION","Instrument-specific DGA role for the bounded Article 1 operation.","Establish the European Data Innovation Board framework.","OBJ-DGA-EDIB-GOVERNANCE","One versioned Article 1 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","The Regulation applies","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Board creation does not itself decide a re-use request","Board identity, mandate and institutional basis","Institutional register","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-001-003","LAW-EU-2022-0868-A001-P02-S01","does not create any obligation on public sector bodies to allow the re-use of data","EXCEPTION","SOURCE_CONTROLLED_EXCEPTION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 1 operation.","Preserve the absence of a general duty to release data.","OBJ-DGA-REUSE-DECISION","One versioned Article 1 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","A request concerns data within the DGA","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Sector-specific access duties remain unaffected","Applicable access source and decision boundary","Legal-basis and authority record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-001-004","LAW-EU-2022-0868-A001-P03-S01","Union and national law on the protection of personal data shall apply","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 1 operation.","Apply controlling personal-data law to personal data processed in connection with the DGA.","OBJ-DGA-PERSONAL-DATA","One versioned Article 1 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Personal data are processed","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Data-protection law prevails in conflict","Personal-data status, controller role, purpose and applicable data-protection source","Data-protection applicability record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-001-005","LAW-EU-2022-0868-A001-P03-S03","This Regulation does not create a legal basis for the processing of personal data","EXCEPTION","SOURCE_CONTROLLED_EXCEPTION","ACT-DGA-REUSER","Instrument-specific DGA role for the bounded Article 1 operation.","Do not treat the DGA as an independent personal-data legal basis.","OBJ-DGA-PERSONAL-DATA","One versioned Article 1 governed object or event.","ACT-DGA-PUBLIC-SECTOR-BODY","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","The proposed re-use involves personal data","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","No downstream AI-training authority follows automatically","Separate personal-data legal basis and purpose","Qualified legal-basis assessment record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-003-001","LAW-EU-2022-0868-A003-P01","This Chapter applies to data held by public sector bodies which are protected","CONDITION","SOURCE_CONTROLLED_CONDITION","ACT-DGA-PUBLIC-SECTOR-BODY","Contextual data-holding public-sector body identified by the Article 3(1) scope rule; no autonomous duty is imposed by this paragraph.","Determine whether Chapter II applies because data held by a public-sector body are protected on one or more Article 3(1) grounds.","OBJ-DGA-PROTECTED-DATA","One versioned Article 3 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Data are held by a public-sector body and protected on at least one Article 3(1) ground","PUBLIC_SECTOR_BODY_HOLDS_DATA AND (COMMERCIAL_CONFIDENTIALITY OR STATISTICAL_CONFIDENTIALITY OR THIRD_PARTY_IP_RIGHTS OR QUALIFYING_PERSONAL_DATA_PROTECTION) AND NO_ARTICLE_3_2_EXCLUSION","Subject to Article 3(2) exclusions and Article 3(3) savings; the personal-data ground is limited by Directive (EU) 2019/1024","Holding body; commercial confidentiality; statistical confidentiality; third-party intellectual-property rights; or qualifying personal-data protection ground","Scope-classification record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","LAW-EU-2019-1024"
"REQ-DGA-003-002","LAW-EU-2022-0868-A003-P02","This Chapter does not apply to","EXCEPTION","SOURCE_CONTROLLED_EXCEPTION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 3 operation.","Exclude the listed bodies, security data and out-of-public-task data.","OBJ-DGA-PROTECTED-DATA","One versioned Article 3 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","An Article 3(2) exclusion is established","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Exclusion is provision-specific","Holder type, security ground and public-task relationship","Scope-exclusion record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-003-003","LAW-EU-2022-0868-A003-P03","This Chapter is without prejudice to","EXCEPTION","SOURCE_CONTROLLED_EXCEPTION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 3 operation.","Preserve controlling protection and access-to-documents law.","OBJ-DGA-REUSE-DECISION","One versioned Article 3 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Chapter II is otherwise triggered","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Other law may impose additional or different constraints","Applicable protection and access instruments","Cross-instrument dependency record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-001","LAW-EU-2022-0868-A004-P01","agreements or other practices which grant exclusive rights shall be prohibited","PROHIBITION","SOURCE_CONTROLLED_PROHIBITION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Do not grant or maintain prohibited exclusive re-use arrangements.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Protected public-sector data re-use is concerned","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Article 4(2) derogation may apply","Parties, data, exclusivity effect and duration","Arrangement and competition-impact record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-002","LAW-EU-2022-0868-A004-P02","an exclusive right may be granted to the extent necessary","PERMISSION","SOURCE_CONTROLLED_PERMISSION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Grant exclusivity only where necessary for an otherwise impossible general-interest service or product.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","The general prohibition applies","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Derogation is narrow","Necessity, general-interest purpose and alternatives","Reasoned necessity assessment","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-003","LAW-EU-2022-0868-A004-P03","shall be granted through an administrative act or contractual arrangement","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Use a lawful administrative act or contract and observe transparency, equal treatment and non-discrimination.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Article 4(2) derogation is used","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Applicable procurement and national law remain controlling","Instrument, legal authority and equality safeguards","Versioned act or contract","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-004","LAW-EU-2022-0868-A004-P04","duration of an exclusive right shall not exceed 12 months","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Limit the exclusive right and associated contract to twelve months.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","An exclusive right is granted","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","No renewal is inferred","Start date, end date and linked contract","Machine-checkable duration record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-005","LAW-EU-2022-0868-A004-P05","including the reasons shall be transparent and be made publicly available online","EVIDENCE_DUTY","SOURCE_CONTROLLED_EVIDENCE_DUTY","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Publish the grant and reasons online transparently.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","An Article 4 derogation is granted","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Protected information may constrain publication detail","Publication URL, reasons, date and procurement-law status","Public online notice","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-004-006","LAW-EU-2022-0868-A004-P06","shall be terminated at the end of the applicable contract and in any event by 24 December 2024","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 4 operation.","Terminate non-qualifying pre-existing exclusive arrangements by the statutory deadline.","OBJ-DGA-EXCLUSIVE-ARRANGEMENT","One versioned Article 4 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","A prohibited pre-23-June-2022 arrangement exists","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Earlier contractual expiry controls if earlier","Legacy agreement identity and termination event","Termination evidence","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-005-001","LAW-EU-2022-0868-A005-P01-S01","shall make publicly available the conditions for allowing such re-use","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-PUBLIC-SECTOR-BODY","Instrument-specific DGA role for the bounded Article 5 operation.","Publish re-use conditions and the request procedure through the single information point.","OBJ-DGA-REUSE-CONDITIONS","One versioned Article 5 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","The body is competent under national law","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Publication does not create an access right","Conditions, procedure, responsible body and information-point route","Public machine-readable conditions and procedure","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
"REQ-DGA-005-002","LAW-EU-2022-0868-A005-P01-S02","Member States shall ensure that public sector bodies are equipped with the necessary resources","OBLIGATION","SOURCE_CONTROLLED_OBLIGATION","ACT-DGA-MEMBER-STATE","Instrument-specific DGA role for the bounded Article 5 operation.","Provide public-sector bodies with resources necessary for Article 5.","OBJ-DGA-COMPETENCE-ARRANGEMENT","One versioned Article 5 governed object or event.","ACT-DGA-REUSER","Operationalise the DGA public-sector re-use and institutional governance spine without inferring downstream-use authority.","Article 5 functions are allocated","The recorded trigger and all express cumulative conditions must be established from attributable evidence.","Adequacy requires institutional judgment","Assigned resources and responsible bodies","Resource and designation record","Verify authority, scope, trigger, version, completeness, provenance and retained legal limitations.","Authoritative source; role and object evidence; dated decision, publication, notice, contract, control or institutional record as applicable.","ACT-DGA-COMPETENT-BODY","Non-performance or defective exercise requires qualified legal or institutional review; metadata does not determine compliance or remedy.","NONE_IDENTIFIED"
