"standard_element_id","standard_id","version","formal_status","namespace","class_or_property","human_label","normative_definition","domain","range","cardinality","controlled_vocabulary","normative_or_informative","validation_artifact","intended_capability","known_limit","source_pinpoint"
"EL-PROVO-Agent","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:Agent","Agent","Something bearing responsibility for an activity for an entity's existence or for another agent's activity.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify a person organization or software agent associated with evidence and lifecycle actions.","A provenance agent is not automatically the legally responsible actor or statutory role-holder.","PROV-O §3.1 Starting Point Terms — prov:Agent; https://www.w3.org/TR/2013/REC-prov-o-20130430/#Agent"
"EL-PROVO-wasGeneratedBy","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:wasGeneratedBy","was generated by","Relates an entity to an activity whose completion resulted in the entity.","prov:Entity","prov:Activity","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Link a dataset version measurement report or metadata record to the activity that generated it.","Does not prove the stated generation event or completeness of inputs.","PROV-O §3.1 Starting Point Terms — prov:wasGeneratedBy"
"EL-PROVO-used","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:used","used","Relates an activity to an entity used before during or at the activity.","prov:Activity","prov:Entity","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Record source datasets files methods or plans used by a processing activity.","Does not establish that all inputs were disclosed or lawfully used.","PROV-O §3.1 Starting Point Terms — prov:used"
"EL-PROVO-wasDerivedFrom","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:wasDerivedFrom","was derived from","Relates a generated entity to another entity from which it was derived through an activity.","prov:Entity","prov:Entity","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent dataset lineage and transformation dependencies.","Does not identify the transformation method or determine whether derivation was legally permitted without additional activity and policy evidence.","PROV-O §3.2 Expanded Terms — prov:wasDerivedFrom"
"EL-PROVO-wasAttributedTo","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:wasAttributedTo","was attributed to","Relates an entity to an agent to whom it is attributed.","prov:Entity","prov:Agent","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attribute a dataset metadata record or evidence artifact to an agent.","Attribution is not equivalent to legal responsibility ownership authorship or approval.","PROV-O §3.2 Expanded Terms — prov:wasAttributedTo"
"EL-PROVO-wasAssociatedWith","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:wasAssociatedWith","was associated with","Relates an activity to an agent bearing responsibility for it.","prov:Activity","prov:Agent","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Associate lifecycle or measurement activity with the responsible executing agent.","Association does not by itself encode the instrument-specific legal role authority or accountability allocation.","PROV-O §3.1 Starting Point Terms — prov:wasAssociatedWith"
"EL-PROVO-hadPrimarySource","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:hadPrimarySource","had primary source","Relates an entity to a primary source on which it depends for its content.","prov:Entity","prov:Entity","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Link extracted requirements or metadata evidence to an authoritative primary source.","The relation does not establish authoritative status authenticity or faithful extraction.","PROV-O §3.2 Expanded Terms — prov:hadPrimarySource"
"EL-PROVO-generatedAtTime","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:generatedAtTime","generated at time","Records the time at which an entity was completely created and became available for use.","prov:Entity","xsd:dateTime","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Timestamp creation of a versioned dataset measurement or evidence artifact.","A stated timestamp is not independently authenticated.","PROV-O §3.2 Expanded Terms — prov:generatedAtTime"
"EL-PROVO-qualifiedAssociation","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:qualifiedAssociation","qualified association","Links an activity to a qualified association that can identify agent role and plan.","prov:Activity","prov:Association","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent agent role and plan context for a processing or review activity.","Qualified provenance roles remain technical/contextual and must not replace instrument-specific legal-role determinations.","PROV-O §3.3 Qualified Terms — prov:qualifiedAssociation"
"EL-PROVO-hadRole","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:hadRole","had role","Identifies the function of an entity or agent with respect to an activity in a qualified influence.","prov:Influence","prov:Role","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach a versioned operational role to a qualified provenance relation.","Role values require a separate controlled profile and cannot infer legal status from organization type.","PROV-O §3.3 Qualified Terms — prov:hadRole"
"EL-PROVO-hadPlan","STD-PROVO-2013","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/prov#","prov:hadPlan","had plan","Relates an association to a plan intended by an agent to achieve goals in the associated activity.","prov:Association","prov:Plan","UNCONSTRAINED_BY_PROV_O","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Link a processing quality-assessment or review activity to its method or plan.","Does not demonstrate execution fidelity adequacy or approval of the plan.","PROV-O §3.3 Qualified Terms — prov:hadPlan"
"EL-DQV-QualityMeasurement","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:QualityMeasurement","Quality Measurement","An observation evaluating a resource against a specific quality metric.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Represent a metric result for a dataset or distribution.","The Note supplies no legal metric catalogue threshold or required measurement procedure.","DQV §4.1 Quality measurements — dqv:QualityMeasurement; https://www.w3.org/TR/2016/NOTE-vocab-dqv-20161215/#dqv:QualityMeasurement"
"EL-DQV-Metric","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:Metric","Metric","A standard for measuring a quality dimension; an observation links to the metric through dqv:isMeasurementOf.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Define the measure against which a quality value is produced.","No normative EHDS or AI Act metric definitions are supplied.","DQV §4.1 Quality measurements — dqv:Metric; https://www.w3.org/TR/2016/NOTE-vocab-dqv-20161215/#dqv:Metric"
"EL-DQV-Dimension","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:Dimension","Dimension","A quality characteristic relevant to a consumer in selecting whether a resource is fit for purpose.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Group metrics under characteristics such as completeness accuracy timeliness or consistency.","Section 7 example dimensions are non-normative and fitness remains purpose-dependent.","DQV §4.1 and §7 — dqv:Dimension; https://www.w3.org/TR/2016/NOTE-vocab-dqv-20161215/#dqv:Dimension"
"EL-DQV-Category","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:Category","Category","A group of quality dimensions under a common broader topic.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Organize quality dimensions into a profile-specific taxonomy.","No normative category hierarchy is mandated.","DQV §4.1 Quality measurements — dqv:Category"
"EL-DQV-QualityAnnotation","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:QualityAnnotation","Quality Annotation","A Web Annotation whose body contains a quality assessment certificate or feedback about a resource.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Attach human or machine quality commentary to a dataset or distribution.","An annotation records an assertion but does not establish accuracy authority or legal sufficiency.","DQV §4.3 Quality annotations — dqv:QualityAnnotation"
"EL-DQV-QualityCertificate","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:QualityCertificate","Quality Certificate","A quality annotation that associates a resource with a quality certificate.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Represent a certificate attached to a dataset or distribution.","No trust framework issuer competence certificate scheme validity or revocation semantics are supplied.","DQV §4.3 Quality annotations — dqv:QualityCertificate"
"EL-DQV-hasQualityMeasurement","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:hasQualityMeasurement","has quality measurement","Relates a resource to a quality measurement performed for it.","rdfs:Resource","dqv:QualityMeasurement","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Attach one or more explicit metric results to a dataset or distribution.","DQV imposes no minimum count and the link does not ensure the legally relevant dimensions were measured.","DQV §4.1 Quality measurements — dqv:hasQualityMeasurement"
"EL-DQV-computedOn","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:computedOn","computed on","Identifies the resource on which a quality measurement is computed.","dqv:QualityMeasurement","rdfs:Resource","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Bind a measurement to the exact dataset distribution or other measured resource.","Version identity and measurement scope still require explicit resource versioning.","DQV §4.1 Quality measurements — dqv:computedOn"
"EL-DQV-isMeasurementOf","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:isMeasurementOf","is measurement of","Identifies the metric used for a quality measurement.","dqv:QualityMeasurement","dqv:Metric","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Link each value to an explicit metric definition.","Metric existence does not establish method validity or legal relevance.","DQV §4.1 Quality measurements — dqv:isMeasurementOf"
"EL-DQV-value","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:value","value","The value of a quality measurement.","dqv:QualityMeasurement","rdfs:Literal","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Record the observed measurement result.","Datatype unit uncertainty confidence and acceptance threshold must be supplied separately.","DQV §4.1 Quality measurements — dqv:value"
"EL-DQV-unitMeasure","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:unitMeasure","unit of measure","Identifies the unit associated with a quality measurement value.","dqv:QualityMeasurement","rdfs:Resource","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Make numeric quality results interpretable and comparable.","DQV does not mandate a unit vocabulary or dimensional-consistency checks.","DQV §4.1 Quality measurements — dqv:unitMeasure"
"EL-DQV-expectedDataType","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:expectedDataType","expected data type","Identifies the expected datatype for values produced by a metric.","dqv:Metric","rdfs:Datatype","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Declare the expected representation of metric results for validation.","Datatype validation alone does not check formula method or plausibility.","DQV §4.1 Quality measurements — dqv:expectedDataType"
"EL-DQV-inDimension","STD-DQV-2016","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","http://www.w3.org/ns/dqv#","dqv:inDimension","in dimension","Relates a metric to the quality dimension it measures.","dqv:Metric","dqv:Dimension","UNCONSTRAINED_BY_DQV","NOT_APPLICABLE","VOCABULARY_DEFINITION_IN_W3C_NOTE","NONE_IDENTIFIED","Classify a metric under a legally or operationally relevant quality dimension.","The dimension and mapping require a separate reviewed profile.","DQV §4.1 Quality measurements — dqv:inDimension"
"EL-ODRL-Policy","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:Policy","Policy","A non-empty group of permissions prohibitions or duties expressing rules over assets.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent a machine-readable policy governing access or use of an asset.","Policy syntax does not establish legal authority validity monitoring or enforcement.","ODRL Information Model 2.2 §2.1 Policy Class"
"EL-ODRL-Permission","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:Permission","Permission","A rule permitting an action on an asset and optionally requiring duties or constraints.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent allowed access or downstream use.","Legal permission scope and enforceability depend on external law contract and authority.","ODRL Information Model 2.2 §2.2 Rule Class and §2.3 Permission Class"
"EL-ODRL-Prohibition","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:Prohibition","Prohibition","A rule prohibiting an action on an asset subject to any stated constraints.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent prohibited access or use.","Does not determine governing law legal exceptions conflict priority or enforcement.","ODRL Information Model 2.2 §2.2 Rule Class and §2.4 Prohibition Class"
"EL-ODRL-Duty","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:Duty","Duty","A rule requiring an action that may serve as an obligation consequence or remedy in a policy.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent policy duties such as attribution anonymization deletion or compensation.","An ODRL duty is a policy construct and not automatically a binding legal obligation.","ODRL Information Model 2.2 §2.5 Duty Class"
"EL-ODRL-Constraint","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:Constraint","Constraint","An atomic condition comparing a left operand with a right operand using an operator.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Represent temporal purpose spatial recipient count or other policy conditions.","Open-textured legal conditions require a versioned profile and reviewed interpretation.","ODRL Information Model 2.2 §2.6 Constraint Class"
"EL-ODRL-uid","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:uid","policy identifier","An absolute IRI uniquely identifying a policy.","odrl:Policy","xsd:anyURI","1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Give a policy a stable reference identifier.","Uniqueness and persistence depend on issuer governance.","ODRL Information Model 2.2 §2.1 Policy Class — uid relation"
"EL-ODRL-permission","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:permission","permission rule","Relates a policy to a permission rule.","odrl:Policy","odrl:Permission","0..*; at least one of permission|prohibition|obligation per Policy","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach permitted actions to a policy.","Rule completeness and conflict resolution require processor and profile context.","ODRL Information Model 2.2 §2.1 Policy Class — permission relation"
"EL-ODRL-prohibition","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:prohibition","prohibition rule","Relates a policy to a prohibition rule.","odrl:Policy","odrl:Prohibition","0..*; at least one of permission|prohibition|obligation per Policy","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach prohibited actions to a policy.","Legal priority exceptions and remedies remain external unless explicitly profiled.","ODRL Information Model 2.2 §2.1 Policy Class — prohibition relation"
"EL-ODRL-obligation","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:obligation","obligation rule","Relates a policy to a duty that must be fulfilled.","odrl:Policy","odrl:Duty","0..*; at least one of permission|prohibition|obligation per Policy","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach standalone duties to a policy.","Policy duty expression does not prove fulfilment or legal enforceability.","ODRL Information Model 2.2 §2.1 Policy Class — obligation relation"
"EL-ODRL-target","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:target","target asset","Identifies the asset to which a rule applies.","odrl:Rule","odrl:Asset","CONTEXT_DEPENDENT; explicit or inherited in compact policy representation","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Bind permissions prohibitions and duties to a dataset distribution service or other asset.","Asset identity and version must be externally governed.","ODRL Information Model 2.2 §2.2 Rule Class — target relation"
"EL-ODRL-action","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:action","action","Identifies the action governed by a permission prohibition or duty.","odrl:Rule","odrl:Action","1","odrl:use|read|extract|derive|modify|distribute|anonymize|delete and profile-defined actions","NORMATIVE","NONE_IDENTIFIED","Represent the type of access use transformation transfer or policy duty.","Generic actions need profile semantics to align with instrument-specific legal conduct.","ODRL Information Model 2.2 §2.2 Rule Class; ODRL Vocabulary 2.2 §3 Actions and §4 Common Vocabulary"
"EL-ODRL-assigner","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:assigner","assigner","Identifies the party assigning a rule.","odrl:Rule","odrl:Party","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify the policy-granting or duty-imposing party.","Does not prove the party has authority to assign the rule.","ODRL Information Model 2.2 §2.2 Rule Class — assigner relation"
"EL-ODRL-assignee","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:assignee","assignee","Identifies the party to whom a rule is assigned.","odrl:Rule","odrl:Party","0..1","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Identify the policy recipient or duty bearer.","Does not determine the recipient's instrument-specific legal role or eligibility.","ODRL Information Model 2.2 §2.2 Rule Class — assignee relation"
"EL-ODRL-constraint","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:constraint","constraint relation","Relates a rule to a condition that refines when its action is permitted prohibited or required.","odrl:Rule","odrl:Constraint","0..*","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach purpose time spatial recipient count or other conditions to a rule.","Constraint interpretation and conflict handling require a shared ODRL profile.","ODRL Information Model 2.2 §2.2 Rule Class — constraint relation"
"EL-ODRL-leftOperand","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:leftOperand","left operand","Identifies the property of an asset party action or environment being compared in an atomic constraint.","odrl:Constraint","odrl:LeftOperand","1","Includes odrl:purpose|dateTime|recipient|spatial|count|percentage and profile-defined operands","NORMATIVE","NONE_IDENTIFIED","Select the policy fact constrained by a rule.","A generic operand may not capture the legal definition or evidence needed to evaluate the condition.","ODRL Information Model 2.2 §2.6 Constraint Class; ODRL Vocabulary 2.2 §4.5 Left Operands"
"EL-ODRL-operator","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:operator","operator","Identifies the comparison operator used by an atomic constraint.","odrl:Constraint","odrl:Operator","1","ODRL operator vocabulary","NORMATIVE","NONE_IDENTIFIED","Express equality ordering inclusion or other comparison semantics.","Operator semantics do not define data acquisition trust or legal interpretation of operands.","ODRL Information Model 2.2 §2.6 Constraint Class; ODRL Vocabulary 2.2 §3.8 Operators"
"EL-ODRL-rightOperand","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:rightOperand","right operand","Supplies the value against which the left operand is compared in an atomic constraint.","odrl:Constraint","rdfs:Resource or rdfs:Literal","1","PROFILE_DEPENDENT","NORMATIVE","NONE_IDENTIFIED","Supply a purpose time recipient geography count or other constraint value.","Datatype unit vocabulary and authoritative value source must be profiled.","ODRL Information Model 2.2 §2.6 Constraint Class — rightOperand relation"
"EL-ODRL-hasPolicy","STD-ODRL-2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/odrl/2/","odrl:hasPolicy","has policy","Relates an asset to a policy governing it.","odrl:Asset","odrl:Policy","0..*","NOT_APPLICABLE","NORMATIVE","NONE_IDENTIFIED","Attach use and access policy to a dataset distribution or service asset.","The relation records an asserted policy and not governing authority legal effect or technical enforcement.","ODRL Vocabulary 2.2 §2.7 Policy Properties — odrl:hasPolicy"
"EL-SHACL-NodeShape","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:NodeShape","Node Shape","A shape that validates focus nodes against node-level constraints.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Define constraints applying to dataset service policy measurement or evidence nodes.","Validation establishes only conformance to the selected shape under recorded assumptions.","SHACL Recommendation §2.1 Shapes — sh:NodeShape"
"EL-SHACL-PropertyShape","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:PropertyShape","Property Shape","A shape with exactly one path that validates values reached from focus nodes along that path.","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Define field-level cardinality datatype class value and logical constraints.","Property-shape success does not verify factual correctness of values.","SHACL Recommendation §2.1 Shapes — sh:PropertyShape"
"EL-SHACL-targetClass","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:targetClass","target class","Targets as focus nodes the instances of a specified class under the selected entailment regime.","sh:Shape","rdfs:Class","0..*","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Select which resource types a shape validates.","Target expansion can differ with entailment; the regime must be recorded.","SHACL Recommendation §2.1.3.1 Target Classes"
"EL-SHACL-path","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:path","property path","Identifies the SHACL property path used to obtain value nodes from a focus node.","sh:PropertyShape","SHACL property path","1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Bind a property shape to the metadata field or path it validates.","Complex paths may reduce readability and do not define business semantics.","SHACL Recommendation §2.3.1 Property Paths"
"EL-SHACL-minCount","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:minCount","minimum count","Requires at least the specified number of value nodes for each focus node.","sh:PropertyShape","xsd:integer","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Validate mandatory metadata and minimum multiplicity.","A value's presence does not establish completeness substance or truth.","SHACL Recommendation §4.2.1 sh:minCount"
"EL-SHACL-maxCount","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:maxCount","maximum count","Requires no more than the specified number of value nodes for each focus node.","sh:PropertyShape","xsd:integer","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Validate maximum multiplicity and functional fields.","Duplicate semantics and identity still depend on RDF term equality and profile design.","SHACL Recommendation §4.2.2 sh:maxCount"
"EL-SHACL-class","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:class","class constraint","Requires each value node to be a SHACL instance of the specified class.","sh:Shape","rdfs:Class","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Validate object-resource class membership.","Results depend on the chosen entailment regime and cannot establish real-world category truth.","SHACL Recommendation §4.1.1 sh:class"
"EL-SHACL-datatype","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:datatype","datatype constraint","Requires each value node to be a literal with the specified datatype.","sh:Shape","rdfs:Datatype","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Validate dates booleans numeric counts and metric-value datatypes.","Correct datatype does not establish plausible value units method or factual accuracy.","SHACL Recommendation §4.1.2 sh:datatype"
"EL-SHACL-nodeKind","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:nodeKind","node-kind constraint","Requires each value node to have the selected RDF node kind such as IRI literal or blank node.","sh:Shape","sh:NodeKind","0..1","sh:IRI|sh:Literal|sh:BlankNode and defined unions","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Require persistent IRI references or literal values as appropriate.","IRI syntax does not ensure resolution persistence or authority.","SHACL Recommendation §4.1.3 sh:nodeKind"
"EL-SHACL-closed","STD-SHACL-2017","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","http://www.w3.org/ns/shacl#","sh:closed","closed shape","When true constrains a focus node to properties enumerated by its property shapes except explicitly ignored properties.","sh:NodeShape","xsd:boolean","0..1","NOT_APPLICABLE","NORMATIVE","https://w3c.github.io/data-shapes/data-shapes-test-suite/","Detect unexpected metadata properties in tightly governed exchange profiles.","Closed shapes can reject valid extensions and should not be used as a general legal completeness claim.","SHACL Recommendation §4.8.1 sh:closed"
